0001 	2002-10-17 	05:47:25 	1020.2420 	XXXX 		1022.851 	XXXX 	54593
0002 	2002-10-19 	23:58:04 	1022.9994 	1023.080 	1025.570 	35899 	63555
0003 	2002-10-22 	18:09:14 	1025.7572 	1025.818 	1028.344 	29382 	64016
0004 	2002-10-25 	12:55:24 	1028.5392 	1028.579 	1031.195 	21098 	63556
0005 	2002-10-28 	09:42:36 	1031.4053 	1031.469 	1034.112 	28000 	67549
0006 	2002-10-31 	08:21:11 	1034.3488 	1034.425 	1037.125 	31283 	63353
0007 	2002-11-03 	08:07:58 	1037.3396 	1037.400 	1040.085 	27048 	69284
0008 	2002-11-06 	07:55:09 	1040.3307 	1040.399 	1043.086 	29169 	67223
0009 	2002-11-09 	07:41:09 	1043.3210 	1043.397 	XXXX 		31226 	XXXX
0010 	2002-11-12 	07:28:19 	1046.3121 	1046.379 	1049.088 	28800 	63694
0011 	2002-11-15 	07:17:17 	1049.3044 	1049.378 	1052.082 	30572 	63529
0012 	2002-11-18 	07:07:26 	1052.2976 	1052.362 	1055.181 	28114 	39935
0013 	2002-11-21 	06:57:32 	1055.2907 	1055.344 	1058.060 	25161 	64814
0014 	2002-11-24 	06:46:08 	1058.2828 	1058.350 	1061.132 	28858 	47575
0015 	2002-11-27 	06:33:09 	1061.2738 	1061.334 	1064.038 	27024 	65521
0016 	2002-11-30 	06:19:56 	1064.2646 	1064.339 	1067.038 	30785 	63840
0017 	2002-12-03 	06:07:46 	1067.2561 	1067.323 	1070.042 	28780 	61105
0018 	2002-12-06 	05:54:11 	1070.2467 	1070.314 	1073.014 	28890 	64885
0019 	2002-12-09 	05:41:25 	1073.2378 	1073.312 	1075.969 	30706 	71903
0020 	2002-12-12 	05:30:34 	1076.2303 	1076.300 	1079.037 	29529 	57396
0021 	2002-12-15 	05:20:52 	1079.2236 	1079.284 	1082.032 	27078 	56961
0022 	2002-12-18 	05:11:02 	1082.2167 	1082.294 	1085.035 	31514 	54597
0023 	2002-12-21 	04:59:48 	1085.2089 	1085.282 	1087.986 	30403 	62766
0024 	2002-12-24 	04:46:41 	1088.200 	1088.269 	1091.041 	29386 	49207
0025 	2002-12-27 	04:33:24 	1091.191 	1091.252 	1093.942 	27353 	67804
0026 	2002-12-30 	04:21:06 	1094.182 	1094.253 	1096.941 	29845 	66157
0027 	2003-01-02 	04:07:37 	1097.173 	1097.245 	1099.902 	30198 	71601
0028 	2003-01-05 	03:53:52 	1100.163 	1100.230 	1102.944 	28778 	62144
0029 	2003-01-08 	03:41:54 	1103.155 	1103.224 	1105.955 	29383 	58405
0030 	2003-01-11 	03:31:04 	1106.147 	1106.214 	1108.907 	28738 	66338
0031 	2003-01-14 	03:19:54 	1109.137 	1109.200 	1111.888 	28460 	67331
0032 	2003-01-17 	03:07:31 	1112.131 	1112.194 	1114.884 	29039 	66238
0033 	2003-01-20 	02:53:20 	1115.121 	1115.177 	1117.909 	27132 	59415
0034 	2003-01-23 	02:38:41 	1118.1109 	1118.1840 	1120.8820 	31509 	63014
0035 	2003-01-26 	02:25:14 	1121.1016 	1121.1800 	1123.9110 	32805 	55067
0036 	2003-01-29 	02:10:43 	1124.0915 	1124.1540 	1126.7685 	28581 	80316
0037 	2003-02-01 	01:56:05 	1127.0814 	1127.158 	1129.831 	32144 	67473
0038 	2003-02-04 	01:42:20 	1130.0718 	XXXX 		1132.8280 	XXXX 	66678
0039 	2003-02-07 	01:30:25 	1133.0635 	1133.1020 	1135.7920 	21893 	71954
0040 	2003-02-10 	01:18:41 	1136.0554 	1136.1090 	1138.7995 	25452 	69101
0041 	2003-02-13 	01:05:57 	1139.0465 	1139.1025 	1141.7210 	25843 	81027
0042 	2003-02-16 	00:51:18 	1142.0364 	1142.0990 	XXXX 		27348 	XXXX
0043 	2003-02-19 	00:35:49 	1145.0256 	1145.0860 	1147.8030 	26540 	62561
0044 	2003-02-22 	00:21:50 	1148.0159 	1148.0810 	1150.7950 	27553 	62831
0045 	2003-02-25 	00:07:07 	1151.0057 	1151.0710 	1153.7160 	27409 	74873
0046 	2003-02-27 	23:52:22 	1153.9954 	1154.0640 	1156.7440 	28064 	69249
