Rev	Rev. Start	Perigee	Perig.IJD	Exit.IJD	Entrance.IJD	Exit	Entrance
2131	2019-08-29	22:28:46	7180.9367	7181.0373	7183.4582	40087	49402
2130	2019-08-27	06:40:29	7178.2781	7178.3690	7180.8268	37254	42487
2129	2019-08-24	14:48:20	7175.6169	7175.7001	7178.2059	35013	31664
2128	2019-08-21	23:00:44	7172.9588	7173.0595	7175.4836	39971	48655
2127	2019-08-19	07:11:25	7170.2996	7170.4131	7172.8507	43588	42196
2126	2019-08-16	15:21:24	7167.6399	7167.7218	7170.2071	34543	37633
2125	2019-08-14	02:15:37	7165.0942	7165.0942	7167.5224	43276	44578
2124	2019-08-11	07:42:15	7162.3210	7162.4613	7165.0942	50341	41520
2123	2019-08-08	15:56:55	7159.6645	7159.7568	7162.2290	37684	37453
2122	2019-08-06	00:08:32	7157.0059	7157.1758	7159.5344	57306	47736
2121	2019-08-03	08:20:14	7154.3474	7154.4672	7156.8853	45083	45289
2120	2019-07-31	16:32:16	7151.6891	7151.7692	7154.2502	33896	38980
2119	2019-07-29	00:43:29	7149.0302	7149.1304	7151.5749	39758	43721
2118	2019-07-26	04:56:22	7146.2058	nan	7148.9247	nan	41404
2117	2019-07-23	17:03:52	7143.7110	7143.7913	nan	34067	nan
2116	2019-07-21	01:14:33	7141.0518	7141.1583	7143.5893	41583	45665
2115	2019-07-18	13:14:41	7138.5519	nan	7140.9337	nan	44637
2114	2019-07-15	17:54:11	7135.7460	7138.2377	nan	49652	nan
2113	2019-07-13	01:49:48	7133.0763	7133.1990	7135.7460	45919	42024
2112	2019-07-10	10:01:55	7130.4180	7130.5579	7132.9599	50146	44199
2111	2019-07-07	18:14:12	7127.7599	7127.8318	7130.3241	31586	38128
2110	2019-07-05	02:26:57	7125.1021	7125.1963	7127.6510	38190	42111
2109	2019-07-02	10:38:43	7122.4436	7122.5383	7125.0010	38344	39993
2108	2019-06-29	18:48:53	7119.7839	7119.8584	7122.3618	32252	34434
2107	2019-06-27	03:00:06	7117.1251	7117.2187	7119.6656	38079	44832
