REV_RANGE ENTRY/SAFE EXIT/SAFE
1773-1773 46622/55365 58526/69669
1774-1774 46787/55561 58246/69335
1775-1775 46944/55747 57956/68990
1776-1776 47091/55922 57656/68633
1777-1777 47229/56086 57348/68266
1778-1778 47357/56238 57031/67889
1779-1779 47476/56379 56706/67503
1780-1780 47584/56507 56375/67108
1781-1781 47682/56623 56037/66706
1782-1782 47768/56726 55693/66296
1783-1783 47844/56817 55344/65881
1784-1784 47909/56894 54991/65460
1785-1785 47963/56957 54634/65035
1786-1786 48005/57007 54273/64606
1787-1787 48036/57044 53911/64174
1788-1788 48055/57067 53546/63741
1789-1789 48062/57076 53181/63306
1790-1790 48059/57071 52815/62870
1791-1791 48043/57052 52450/62436
1792-1792 48016/57020 52086/62002
1793-1793 47977/56974 51723/61570
1794-1794 47927/56915 51363/61142
1795-1795 47866/56842 51006/60717
1796-1796 47794/56756 50653/60297
1797-1797 47710/56657 50305/59882
1798-1798 47616/56545 49962/59474
1799-1799 47511/56421 49624/59072
1800-1800 47396/56284 49293/58678
1801-1801 47271/56135 48970/58293
1802-1802 47136/55975 48654/57917
1803-1803 46991/55803 48346/57551
1804-1804 46837/55621 48047/57195
1805-1805 46675/55428 47758/56851
1806-1806 46504/55225 47479/56519
1807-1807 46325/55012 47211/56199
1808-1808 46138/54790 46954/55893
1809-1809 45944/54560 46708/55601
1810-1810 45743/54321 46474/55322
1811-1811 45536/54075 46253/55059
1812-1812 45323/53822 46045/54812
1813-1813 45105/53563 45851/54580
1814-1814 44881/53298 45670/54365
1815-1815 44653/53027 45503/54166
1816-1816 44422/52752 45350/53984
1817-1817 44187/52473 45213/53820
1818-1818 43949/52191 45090/53674
1819-1819 43709/51905 44982/53546
1820-1820 43467/51618 44890/53436
1821-1821 43223/51329 44813/53345
1822-1822 42980/51040 44752/53273
1823-1823 42736/50750 44707/53219
1824-1824 42492/50461 44678/53184
1825-1825 42250/50173 44665/53169
1826-1826 42009/49887 44668/53172
1827-1827 41770/49603 44687/53195
1828-1828 41534/49322 44722/53236
1829-1829 41300/49046 44772/53297
1830-1830 41071/48773 44839/53376
1831-1831 40846/48506 44921/53474
1832-1832 40625/48244 45019/53590
1833-1833 40410/47988 45132/53725
1834-1834 40200/47739 45260/53877
1835-1835 39997/47497 45403/54048
1836-1836 39800/47264 45561/54235
1837-1837 39610/47038 45733/54440
1838-1838 39428/46822 45919/54661
1839-1839 39253/46615 46118/54899
1840-1840 39087/46417 46331/55152
1841-1841 38930/46231 46557/55421
1842-1842 38782/46054 46795/55704
1843-1843 38643/45889 47045/56001
1844-1844 38513/45736 47306/56312
1845-1845 38394/45594 47578/56637
1846-1846 38285/45465 47861/56973
1847-1847 38186/45347 48154/57321
1848-1848 38098/45243 48456/57681
1849-1849 38021/45152 48766/58051
1850-1850 37956/45073 49085/58430
1851-1851 37901/45009 49411/58819
1852-1852 37858/44957 49745/59215
1853-1853 37826/44919 50084/59620
1854-1854 37806/44895 50429/60030
1855-1855 37797/44885 50779/60447
1856-1856 37800/44888 51134/60869
1857-1857 37814/44905 51492/61295
1858-1858 37840/44936 51853/61725
1859-1859 37878/44981 52216/62157
1860-1860 37927/45039 52581/62591
1861-1861 37987/45110 52946/63027
1862-1862 38058/45195 53312/63462
1863-1863 38141/45293 53677/63897
1864-1864 38234/45404 54041/64330
1865-1865 38338/45527 54403/64761
1866-1866 38452/45663 54762/65188
1867-1867 38576/45810 55118/65612
1868-1868 38710/45970 55470/66031
1869-1869 38854/46140 55817/66444
1870-1870 39007/46322 56159/66851
1871-1871 39168/46514 56495/67250
1872-1872 39339/46716 56824/67642
1873-1873 39517/46928 57146/68025
1874-1874 39703/47149 57459/68399
1875-1875 39896/47378 57765/68762
1876-1876 40097/47616 58061/69115
1877-1877 40303/47861 58348/69456
1878-1878 40516/48114 58624/69785
1879-1879 40734/48372 58890/70102
1880-1880 40957/48637 59144/70404
1881-1881 41184/48907 59387/70693
1882-1882 41415/49182 59617/70967
1883-1883 41650/49461 59835/71227
1884-1884 41888/49743 60040/71470
1885-1885 42128/50028 60231/71698
1886-1886 42369/50315 60408/71909
1887-1887 42613/50604 60571/72103
1888-1888 42856/50893 60720/72281
1889-1889 43100/51183 60854/72440
1890-1890 43344/51472 60973/72582
1891-1891 43586/51760 61077/72705
1892-1892 43828/52047 61165/72810
1893-1893 44067/52331 61238/72897
1894-1894 44303/52611 61295/72964
1895-1895 44537/52889 61336/73013
1896-1896 44767/53162 61361/73043
1897-1897 44992/53430 61370/73054
1898-1898 45213/53692 61363/73045
1899-1899 45429/53948 61340/73018
1900-1900 45639/54198 61301/72972
1901-1901 45843/54440 61246/72907
1902-1902 46041/54675 61176/72823
1903-1903 46231/54901 61089/72720
1904-1904 46414/55118 60988/72599
1905-1905 46589/55326 60871/72460
1906-1906 46756/55525 60739/72303
1907-1907 46915/55712 60592/72128
1908-1908 47064/55890 60431/71936
1909-1909 47204/56056 60255/71727
