REV_RANGE ENTRY/SAFE EXIT/SAFE
1775-1775 47116/59209 57511/72673
1776-1776 47258/59387 57199/72278
1777-1777 47389/59552 56879/71874
1778-1778 47511/59705 56550/71459
1779-1779 47622/59845 56215/71036
1780-1780 47722/59971 55874/70604
1781-1781 47812/60083 55527/70166
1782-1782 47890/60181 55175/69721
1783-1783 47957/60265 54818/69270
1784-1784 48012/60335 54458/68815
1785-1785 48056/60390 54096/68357
1786-1786 48088/60430 53730/67896
1787-1787 48108/60456 53364/67432
1788-1788 48117/60467 52997/66968
1789-1789 48113/60462 52629/66504
1790-1790 48098/60443 52262/66040
1791-1791 48071/60409 51897/65579
1792-1792 48032/60360 51534/65120
1793-1793 47982/60297 51173/64664
1794-1794 47920/60219 50816/64213
1795-1795 47846/60127 50463/63767
1796-1796 47762/60020 50115/63327
1797-1797 47666/59900 49773/62895
1798-1798 47559/59766 49437/62470
1799-1799 47442/59619 49108/62054
1800-1800 47315/59459 48786/61647
1801-1801 47177/59286 48472/61251
1802-1802 47030/59101 48167/60866
1803-1803 46874/58904 47872/60492
1804-1804 46708/58696 47586/60132
1805-1805 46534/58477 47311/59784
1806-1806 46351/58248 47047/59450
1807-1807 46161/58009 46795/59131
1808-1808 45964/57761 46554/58827
1809-1809 45759/57504 46326/58539
1810-1810 45548/57239 46111/58268
1811-1811 45331/56966 45910/58013
1812-1812 45109/56686 45722/57776
1813-1813 44881/56401 45548/57556
1814-1814 44649/56109 45389/57355
1815-1815 44414/55813 45244/57172
1816-1816 44174/55512 45115/57008
1817-1817 43932/55208 45001/56864
1818-1818 43688/54901 44902/56740
1819-1819 43442/54592 44819/56635
1820-1820 43195/54281 44752/56550
1821-1821 42947/53970 44701/56486
1822-1822 42699/53658 44666/56442
1823-1823 42452/53348 44647/56418
1824-1824 42206/53038 44645/56415
1825-1825 41961/52731 44659/56432
1826-1826 41719/52426 44689/56470
1827-1827 41479/52126 44735/56528
1828-1828 41243/51829 44797/56607
1829-1829 41011/51537 44875/56705
1830-1830 40783/51250 44969/56824
1831-1831 40560/50970 45078/56962
1832-1832 40342/50697 45203/57120
1833-1833 40131/50431 45343/57297
1834-1834 39925/50173 45498/57492
1835-1835 39727/49924 45667/57706
1836-1836 39536/49683 45851/57938
1837-1837 39353/49453 46048/58188
1838-1838 39178/49233 46259/58455
1839-1839 39011/49024 46483/58738
1840-1840 38854/48826 46720/59037
1841-1841 38706/48640 46969/59351
1842-1842 38567/48466 47229/59680
1843-1843 38439/48305 47501/60024
1844-1844 38320/48156 47783/60381
1845-1845 38213/48021 48076/60750
1846-1846 38116/47899 48378/61132
1847-1847 38030/47791 48689/61525
1848-1848 37956/47697 49008/61928
1849-1849 37892/47618 49335/62342
1850-1850 37841/47553 49669/62764
1851-1851 37801/47503 50010/63194
1852-1852 37772/47467 50356/63632
1853-1853 37756/47446 50708/64076
1854-1854 37751/47441 51064/64526
1855-1855 37758/47450 51423/64980
1856-1856 37777/47474 51786/65438
1857-1857 37808/47512 52150/65899
1858-1858 37851/47566 52517/66362
1859-1859 37905/47634 52884/66826
1860-1860 37971/47717 53252/67290
1861-1861 38048/47813 53618/67754
1862-1862 38136/47924 53984/68216
1863-1863 38235/48049 54348/68676
1864-1864 38345/48187 54709/69132
1865-1865 38466/48338 55066/69583
1866-1866 38596/48503 55420/70030
1867-1867 38737/48679 55768/70471
1868-1868 38887/48868 56112/70904
1869-1869 39047/49069 56449/71330
1870-1870 39215/49280 56779/71748
1871-1871 39392/49502 57102/72156
1872-1872 39577/49735 57417/72553
1873-1873 39769/49977 57723/72940
1874-1874 39969/50228 58020/73315
1875-1875 40176/50488 58307/73678
1876-1876 40389/50755 58583/74028
1877-1877 40608/51030 58849/74363
1878-1878 40832/51312 59103/74684
1879-1879 41061/51600 59345/74990
1880-1880 41294/51893 59575/75281
1881-1881 41531/52190 59792/75555
1882-1882 41771/52492 59995/75812
1883-1883 42014/52797 60185/76052
1884-1884 42259/53105 60361/76274
1885-1885 42505/53415 60522/76478
1886-1886 42753/53726 60669/76663
1887-1887 43001/54037 60801/76830
1888-1888 43248/54349 60917/76977
1889-1889 43495/54659 61018/77104
1890-1890 43741/54968 61103/77212
1891-1891 43985/55274 61172/77299
1892-1892 44226/55578 61226/77367
1893-1893 44465/55878 61263/77414
1894-1894 44700/56173 61284/77440
1895-1895 44931/56463 61289/77446
1896-1896 45157/56748 61277/77432
1897-1897 45379/57026 61249/77397
1898-1898 45594/57297 61206/77341
1899-1899 45804/57560 61146/77266
1900-1900 46007/57815 61070/77170
1901-1901 46203/58062 60978/77054
1902-1902 46392/58299 60871/76919
1903-1903 46572/58526 60749/76764
1904-1904 46745/58742 60611/76590
1905-1905 46908/58948 60458/76397
1906-1906 47063/59142 60291/76185
1907-1907 47208/59325 60109/75956
1908-1908 47343/59495 59914/75709
1909-1909 47468/59652 59705/75445
1910-1910 47583/59796 59482/75164
1911-1911 47687/59927 59247/74867
